Competiton;City;Year;Day #;Race #;Distance;Gender (race);Solo/ Relay;Repechage;Race type;Heat #;# of skaters;Penalty;First name;Last name;Gender (fallen);Helmet #;Country;Fall / Out of track;Lap #;Turn #;Place of fall;Solo/ Group;Reason of fall;First impact;Second impact;Mattress impact;Head impact;Timing video;Impact speed mean;Impact speed m1;Impact speed m2;Impact speed m3;Not displayed;Comments
World Cup;Montreal;2022;1;29;2000m;Mixed;Relay;No;Quarterfinals;1;12;No;No data;No data;No data;19;Poland;Fall;No data;No data;End of turn;Solo;Sliding;Hip;None;Yes;None;02:36:27;#DIV/0!;;;;;
World Championships;Seoul;2023;2;107;1500m;Men;Solo;No;Semifinals;3;7;Yes;Luca;Spechenhauser;Man;14;Italy;Fall;No data;No data;Turn;Solo;Cone;Butt;None;Yes;No data;00:34:41;#DIV/0!;;;;;
World Cup;Montreal;2022;1;33;500m;Men;Solo;No;Preliminaries;1;4;Yes;Yanghun Ben;Jung;Man;23;Germany;Fall;No data;No data;Turn;Group;Skates contact;Hip + elbow;None;Yes;Direct impact;04:04:54;#DIV/0!;;;;;
World Championships;Seoul;2023;2;107;1500m;Men;Solo;No;Semifinals;3;7;Yes;Friso;Emons;Man;171;The Netherlands;Fall;No data;No data;Turn;Group;Opponent contact;Butt;None;Yes;Indirect impact;00:34:56;#DIV/0!;;;;;
World Cup;Montreal;2022;1;33;500m;Men;Solo;No;Preliminaries;1;4;Yes;Lukasz;Kuczynski;Man;94;Poland;Fall;No data;No data;Turn;Group;Skates contact;Butt;None;Yes;None;04:04:54;#DIV/0!;;;;;
World Championships;Seoul;2023;2;112;500m;Women;Solo;No;Quarterfinals;1;5;No;Kristen;Santos-Griswold;Woman;38;USA;Fall;No data;No data;Turn;Group;Opponent contact;Hand;Butt;No;None;01:43:20;#DIV/0!;;;;;
World Cup;Montreal;2022;1;36;500m;Men;Solo;No;Preliminaries;4;5;No;Dominic;Andermann;Man;43;Austria;Fall;No data;None;Straight line;Group;Opponent contact;Hip;None;Yes;None;04:15:06;#DIV/0!;;;;;
World Championships;Seoul;2023;2;114;500m;Women;Solo;No;Quarterfinals;3;5;No;Chlara;Betti;Woman;140;Italy;Fall;No data;No data;End of turn;Solo;Skate stuck in the ice;Shin;Hip;Yes;Direct impact;01:51:37;#DIV/0!;;;;;
World Cup;Montreal;2022;1;37;500m;Men;Solo;No;Preliminaries;5;5;No;Yuchen;Zhong;Man;146;China;Fall;No data;No data;End of turn;Solo;Sliding;Hand;Hip + elbow;Yes;None;04:18:14;#DIV/0!;;;;;
World Championships;Seoul;2023;2;114;500m;Women;Solo;No;Quarterfinals;3;5;No;Minjeong;Choi;Woman;1;Korea;Fall;No data;None;Straight line;Group;Opponent fall;Hip;None;Yes;None;01:51:37;#DIV/0!;;;;;
World Cup;Montreal;2022;1;38;500m;Men;Solo;No;Preliminaries;6;5;No;Chonlachart;Taprom;Man;179;Thailand;Fall;No data;No data;Turn;Solo;Sliding;Hand;Hip;Yes;None;04:20:31;#DIV/0!;;;;;
World Championships;Seoul;2023;2;115;500m;Women;Solo;No;Quarterfinals;4;5;No;Gilli;Kim;Woman;134;Korea;Fall;No data;No data;End of turn;Solo;Stumbles;Hip;None;Yes;None;01:54:16;#DIV/0!;;;;;
World Cup;Montreal;2022;1;38;500m;Men;Solo;No;Preliminaries;6;5;No;Rino;Vanhooren;Man;92;Belgium;Fall;No data;No data;Turn entrance;Solo;Sliding;Hand;Shin;No data;No data;04:20:37;#DIV/0!;;;;;
World Championships;Seoul;2023;2;116;500m;Men;Solo;No;Quarterfinals;1;5;No;Maxime;Laoun;Man;69;Canada;Fall;No data;None;Finish line;Group;Blocked/pushed;Hand;Hip;No;None;01:57:54;#DIV/0!;;;;;
World Cup;Montreal;2022;1;39;500m;Men;Solo;No;Preliminaries;7;5;No;Lucas;Wareham;Man;39;Australia;Fall;No data;No data;End of turn;Solo;Sliding;Shin;Hip;No data;No data;04:22:54;#DIV/0!;;;;;
